pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
1,Satasidham,1,0,0,1,0.6,"waterfall, pond, garden, cave , hindu , temple",1,26.684471,87.8143
2,Arjundhara Dham,1,0,0,0.6,1,"hindu, temple, pond, gurukul, farm ",1,26.6855293,87.9880143
3,Kichakavadh,0.8,0,0,1,1,"hindu, pond, garden, temple, castle remnants",1,26.485912,88.0085924
4,Biratpokhar,0.4,0,0,1,1,"hindu, pond, garden",1,26.612659,87.98616
5,Krishnathumki,1,0.4,0,1,1,"hindu , pond, garden, temple , boat ride ",1,26.789423,88.157426
6,Jamunkhadi Wetland,0,0.4,1,1,0,"wetland, pond, picnic, boat ride, wildlife",1,26.6520165,87.9128915
7,Hiledhap Wetland,0,0,1,1,0,"wetland, pond, wildlife",1,26.825894,88.12657
8,Mai Khola (Kankai river),1,0.4,0.4,0.6,0.6,"river, hindu, temple",1,26.730129,87.873735
9,Haluwagadh Kalikhola Simsaar,0,0.8,0.8,1,0,"pond, mountain bike ride , wetland, wildlife",1,26.739838,87.985763
10,Domukha Shivasatakshi,0,0.4,0.4,1,0,"picnic , river",1,26.660178,87.866482
11,Dhanpal fort ,1,0,0,1,1,"fort, temple, hindu, hiking",1,26.598932,87.395393
12,Koshi Barrage,0,0,0,0.6,1,landmarks,1,26.524783,86.929023
13,"jhandi dada, Illam",0,1,0.4,1,0,"Sighting, hiking, landmarks.hills",1,26.71393,87.89057
14,"Indrenital, Damak",0,0.4,0,1,0,"hiking, lake, landmarks",1,,
15,"Radha krishna mandir, Itahari",1,0,0,0.8,0.6,"hindu, temple",1,26.659759,87.2754526307211
16,Chuli pokhari,0,0.8,0,0.8,0,"pond, hiking, landmarks,hills",1,,
17,Namje village,0.6,0.8,0,1,0,"hiking,hills,landmarks,mountains",1,26.8571621622269,87.3375239562668
18,Baraha Chhetra,1,0.4,0.4,0.6,0.8,"hindu, temple, hills,river",1,26.82776,87.17156
19,Betana wetland,0,0.4,1,1,0,"zoo, wetland,pond,wildlife",1,,
20,"Kechana, jhapa",0,0,0,0.6,0.6,landmarks,1,26.3817125985623,87.9979968846036
